Station.Name,Dates,Province,ID,Parameter,Latitude,Longitude,Area_km2
BOWRON RIVER NEAR HANSARD,1954-1976,BC,08KD004,Flow,"54°02'10"" N","121°52'45"" W","3,550"
BOWRON RIVER NEAR WELLS,1953-1995,BC,08KD001,Flow,"53°15'40"" N","121°24'50"" W",458
BRIDGE CREEK BELOW DEKA CREEK,1998-2022,BC,08LA027,Flow and Level,"51°35'15"" N","120°55'14"" W",
BRIDGE RIVER (SOUTH BRANCH) BELOW BRIDGE GLACIER,1978-2021,BC,08ME023,Flow and Level,"50°51'22"" N","123°27'11"" W",144
BRIDGE RIVER ABOVE DOWNTON LAKE,1996-2021,BC,08ME028,Flow and Level,"50°49'15"" N","123°12'12"" W",708
BRIDGE RIVER AT LAJOIE FALLS,1924-1948,BC,08ME004,Flow,"50°50'15"" N","122°51'24"" W",956
BROUSE CREEK ABOVE DIVERSIONS,1923-1986,BC,08NE021,Flow,"50°15'00"" N","117°43'40"" W",1.01
BROWNS RIVER NEAR COURTENAY,1960-2022,BC,08HB025,Flow and Level,"49°41'34"" N","125°04'09"" W",87.9
BUCK CREEK AT THE MOUTH,1973-2022,BC,08EE013,Flow and Level,"54°23'45"" N","126°39'00"" W",565
BUGABOO CREEK NEAR SPILLIMACHEEN,1912-1956,BC,08NA001,Flow,"50°52'38"" N","116°22'42"" W",381
BULKLEY RIVER AT QUICK,1930-2022,BC,08EE004,Flow and Level,"54°37'06"" N","126°53'59"" W","7,340"
BULKLEY RIVER NEAR HAZELTON,1928-1952,BC,08EE001,Flow and Level,"55°15'32"" N","127°36'10"" W","12,300"
BULKLEY RIVER NEAR HOUSTON,1930-2021,BC,08EE003,Flow and Level,"54°23'57"" N","126°43'09"" W","2,370"
BULKLEY RIVER NEAR SMITHERS,1946-2022,BC,08EE005,Flow and Level,"54°46'11"" N","127°07'59"" W","8,940"
BULL CREEK NEAR CRUMP,1965-1986,BC,08NM133,Flow,"49°37'15"" N","119°54'10"" W",46.9
BURRELL CREEK ABOVE GLOUCESTER CREEK,1974-2022,BC,08NN023,Flow and Level,"49°35'20"" N","118°18'42"" W",221
CABIN CREEK NEAR THE MOUTH,1977-2019,BC,08NP004,Flow and Level,"49°05'39"" N","114°33'13"" W",92.8
CAMP CREEK AT MOUTH NEAR THIRSK,1965-2021,BC,08NM134,Flow and Level,"49°42'44"" N","120°00'40"" W",34.6
CAMP RUN CREEK NEAR CANYON,1921-1983,BC,08NH009,Flow,"49°04'46"" N","116°25'30"" W",5.44
CAMPBELL RIVER AT OUTLET OF CAMPBELL LAKE,1910-1949,BC,08HD001,Flow,"50°08'00"" N","125°23'20"" W","1,400"
CANIM LAKE NEAR CANIM LAKE,1944-1979,BC,08LA011,Level,"51°50'31"" N","120°43'49"" W",
CANOE RIVER BELOW KIMMEL CREEK,1971-2022,BC,08NC004,Flow and Level,"52°43'53"" N","119°23'05"" W",305
CARBON CREEK NEAR THE MOUTH,1998-2021,BC,07EF004,Flow and Level,"55°56'46"" N","122°39'32"" W",741
CARBONATE CREEK NEAR MCMURDO,1924-1998,BC,08NA037,Flow,"51°08'35"" N","116°44'23"" W",8.03
CARIBOO RIVER BELOW KANGAROO CREEK,1926-1995,BC,08KH003,Flow,"52°40'00"" N","121°40'15"" W","3,260"
CARNATION CREEK AT 150 M CONTOUR,1980-1999,BC,08HB069,Flow,"48°55'44"" N","124°56'28"" W",2.53
CARNATION CREEK AT THE MOUTH,1972-2022,BC,08HB048,Flow and Level,"48°54'56"" N","124°59'52"" W",10.3
CARNEY CREEK BELOW PAMBRUN CREEK,1973-2004,BC,08NH131,Flow,"50°09'30"" N","116°34'31"" W",119
CAVEN CREEK BELOW BLOOM CREEK,1972-1995,BC,08NG078,Flow,"49°11'18"" N","115°26'11"" W",313
CEDAR CREEK ABOVE THE MOUTH,2001-2022,BC,08MH166,Flow and Level,"49°22'51"" N","122°46'36"" W",
CHEAKAMUS RIVER ABOVE MILLAR CREEK,1982-2021,BC,08GA072,Flow and Level,"50°04'47"" N","123°02'08"" W",297
CHEAKAMUS RIVER NEAR MONS,1924-1948,BC,08GA024,Flow,"50°05'00"" N","123°02'54"" W",287
CHEHALIS RIVER NEAR HARRISON MILLS,1911-2021,BC,08MG001,Flow and Level,"49°18'00"" N","121°56'15"" W",383
CHEMAINUS RIVER NEAR WESTHOLME,1914-2022,BC,08HA001,Flow and Level,"48°52'42"" N","123°42'16"" W",355
CHILCOTIN RIVER BELOW BIG CREEK,1970-2019,BC,08MB005,Flow and Level,"51°50'52"" N","122°39'17"" W","19,200"
CHILKO RIVER AT OUTLET OF CHILKO LAKE,1928-2022,BC,08MA002,Flow and Level,"51°37'29"" N","124°08'36"" W","2,130"
CHILKO RIVER NEAR REDSTONE,1927-2021,BC,08MA001,Flow and Level,"52°04'11"" N","123°32'22"" W","6,880"
CHILLIWACK RIVER ABOVE SLESSE CREEK,1963-2021,BC,08MH103,Flow and Level,"49°06'06"" N","121°39'46"" W",650
CHILLIWACK RIVER AT OUTLET OF CHILLIWACK LAKE,1923-2021,BC,08MH016,Flow and Level,"49°05'01"" N","121°27'30"" W",335
CHILLIWACK RIVER AT VEDDER CROSSING,1911-2021,BC,08MH001,Flow and Level,"49°05'50"" N","121°58'02"" W","1,230"
CHINA CREEK NEAR CHINA CREEK,1950-1980,BC,08NE088,Flow,"49°13'40"" N","117°41'30"" W",28.5
CHRISTINA CREEK AT OUTLET OF CHRISTINA LAKE,1944-1990,BC,08NN014,Flow and Level,"49°02'31"" N","118°12'25"" W",492
CHUCHINKA CREEK NEAR THE MOUTH,1975-2022,BC,07EE009,Flow and Level,"54°31'47"" N","122°36'44"" W",310
CLARENCE CREEK NEAR ROSSWOOD,1997-2021,BC,08EG018,Flow and Level,"54°59'33"" N","128°48'24"" W",7.16
CLARK CREEK NEAR WINFIELD,1968-2021,BC,08NM146,Flow and Level,"50°02'55"" N","119°20'09"" W",15.3
CLEARWATER LAKE NEAR CLEARWATER STATION,1950-1995,BC,08LA012,Level,"52°08'35"" N","120°11'30"" W",
CLEARWATER RIVER AT OUTLET OF CLEARWATER LAKE,1950-1995,BC,08LA007,Flow,"52°08'20"" N","120°11'30"" W","2,950"
CLEARWATER RIVER AT OUTLET OF HOBSON LAKE,1959-1983,BC,08LA013,Flow,"52°25'18"" N","120°19'26"" W",904
CLEARWATER RIVER NEAR CLEARWATER STATION,1914-2021,BC,08LA001,Flow and Level,"51°39'20"" N","120°03'57"" W","10,300"
CLOWHOM RIVER NEAR CLOWHOM LAKE,1993-2022,BC,08GB013,Flow and Level,"49°47'13"" N","123°25'13"" W",147
COAL RIVER AT THE MOUTH,1961-1995,BC,10BC001,Flow,"59°41'29"" N","126°57'02"" W","9,190"
COLDSTREAM CREEK ABOVE MUNICIPAL INTAKE,1967-2020,BC,08NM142,Flow and Level,"50°15'23"" N","119°04'48"" W",60.6
COLDWATER RIVER NEAR BROOKMERE,1965-2021,BC,08LG048,Flow and Level,"49°51'15"" N","120°54'30"" W",316
COLUMBIA RIVER AT ATHALMER,1912-1984,BC,08NA004,Level,"50°30'56"" N","116°01'08"" W","1,340"
COLUMBIA RIVER AT DONALD,1944-2021,BC,08NB005,Flow and Level,"51°28'59"" N","117°10'49"" W","9,700"
COLUMBIA RIVER AT NICHOLSON,1903-2022,BC,08NA002,Flow and Level,"51°14'36"" N","116°54'46"" W","6,660"
COLUMBIA RIVER AT TWELVE MILE FERRY,1944-1968,BC,08ND006,Flow and Level,"50°51'11"" N","118°06'24"" W","28,500"
COLUMBIA RIVER NEAR FAIRMONT HOT SPRINGS,1944-1996,BC,08NA045,Flow,"50°19'25"" N","115°51'45"" W",891
COMOX LAKE NEAR COURTENAY,1993-2022,BC,08HB082,Level,"49°38'31"" N","125°05'29"" W",
COQUIHALLA RIVER ABOVE ALEXANDER CREEK,1987-2021,BC,08MF068,Flow and Level,"49°22'06"" N","121°23'04"" W",720
COQUIHALLA RIVER BELOW NEEDLE CREEK,1965-2021,BC,08MF062,Flow and Level,"49°32'30"" N","121°07'11"" W",85.5
COQUIHALLA RIVER NEAR HOPE,1911-1983,BC,08MF003,Flow,"49°22'31"" N","121°25'10"" W",741
COQUITLAM RIVER ABOVE COQUITLAM LAKE,1982-2021,BC,08MH141,Flow and Level,"49°29'16"" N","122°47'33"" W",52.5
CORNING CREEK NEAR SQUILAX,1966-2021,BC,08LE077,Flow and Level,"50°54'47"" N","119°31'58"" W",26.2
COTTONWOOD CREEK HEADWATERS,1998-2022,BC,08HA072,Flow and Level,"48°56'00"" N","124°14'57"" W",13
COTTONWOOD RIVER ABOVE BASS CREEK,1964-2021,BC,10AC005,Flow and Level,"59°07'03"" N","129°49'31"" W",882
COTTONWOOD RIVER NEAR CINEMA,1954-1999,BC,08KE009,Flow,"53°09'19"" N","122°28'34"" W","1,910"
CREST LAKE NEAR HIGHWAY 28,1997-2022,BC,08HC006,Flow and Level,"49°50'27"" N","125°54'24"" W",
CRUICKSHANK RIVER NEAR THE MOUTH,1982-2022,BC,08HB074,Flow and Level,"49°34'43"" N","125°12'50"" W",213
CUSHEON CREEK AT OUTLET OF CUSHEON LAKE,1970-1998,BC,08HA026,Flow,"48°48'42"" N","123°27'16"" W",12.4
CUSHEON LAKE NEAR GANGES,1976-1998,BC,08HA038,Level,"48°48'52"" N","123°28'00"" W",
DAIRY CREEK ABOVE TSOTIN LAKE,2001-2020,BC,08LF100,Flow and Level,"50°50'26"" N","121°09'15"" W",10.6
DASH CREEK ABOVE CHURN CREEK,2000-2021,BC,08MD035,Flow and Level,"51°14'41"" N","122°55'18"" W",
DAVES CREEK NEAR RUTLAND,1965-1986,BC,08NM137,Flow,"49°52'05"" N","119°16'27"" W",31.1
DEAN RIVER BELOW TANSWANKET CREEK,1959-2022,BC,08FC003,Flow and Level,"52°53'22"" N","125°46'16"" W","3,720"
DEASE LAKE NEAR TELEGRAPH CREEK,1943-1995,BC,10AC001,Level,"58°27'35"" N","130°02'12"" W",
DEASE RIVER AT MCDAME,1957-1993,BC,10AC002,Flow,"59°11'20"" N","129°12'44"" W","6,940"
DEASE RIVER AT OUTLET OF DEASE LAKE,1956-1984,BC,10AC003,Flow,"58°48'50"" N","130°05'00"" W","1,520"
DEER CREEK AT DEER PARK,1958-2022,BC,08NE087,Flow and Level,"49°26'54"" N","118°02'31"" W",81.6
DENNIS CREEK NEAR 1780 METRE CONTOUR,1985-2019,BC,08NM242,Flow and Level,"49°37'27"" N","119°22'53"" W",3.73
DICKEBUSCH CREEK NEAR THE MOUTH,1978-2022,BC,07FB004,Flow and Level,"55°32'16"" N","121°35'48"" W",82.4
DORE RIVER NEAR MCBRIDE,1915-2021,BC,08KA001,Flow and Level,"53°18'33"" N","120°14'56"" W",409
DOVE CREEK NEAR THE MOUTH,1985-2022,BC,08HB075,Flow and Level,"49°44'11"" N","125°05'08"" W",41.1
DOWNIE CREEK NEAR REVELSTOKE,1953-1983,BC,08ND009,Flow,"51°28'37"" N","118°25'32"" W",655
DRIFTWOOD RIVER ABOVE KASTBERG CREEK,1979-2021,BC,08JD006,Flow and Level,"55°58'34"" N","126°40'39"" W",403
DUCK CREEK NEAR WYNNDEL,1921-2021,BC,08NH016,Flow and Level,"49°12'09"" N","116°32'02"" W",57
DUHAMEL CREEK ABOVE DIVERSIONS,1922-2022,BC,08NJ026,Flow and Level,"49°35'25"" N","117°14'32"" W",52.9
DUNCAN LAKE AT HOWSER,1915-1967,BC,08NH110,Level,"50°18'15"" N","116°56'20"" W",
DUNCAN RIVER BELOW B.B. CREEK,1962-2022,BC,08NH119,Flow and Level,"50°38'15"" N","117°02'52"" W","1,310"
DUNCAN RIVER NEAR HOWSER,1915-1967,BC,08NH001,Flow,"50°17'09"" N","116°56'44"" W","2,160"
EAGLE RIVER NEAR MALAKWA,1913-2021,BC,08LE024,Flow and Level,"50°56'10"" N","118°48'05"" W",932
EAST CANOE CREEK ABOVE DAM,1983-2021,BC,08LE108,Flow and Level,"50°41'47"" N","119°11'46"" W",20.8
ELAHO RIVER NEAR THE MOUTH,1981-2021,BC,08GA071,Flow and Level,"50°06'50"" N","123°25'42"" W","1,200"
ELK RIVER AT FERNIE,1925-2022,BC,08NK002,Flow and Level,"49°30'12"" N","115°04'12"" W","3,090"
ELK RIVER AT STANLEY PARK,1944-1969,BC,08NK012,Flow,"49°18'42"" N","115°03'04"" W","3,520"
ELK RIVER NEAR NATAL,1950-2022,BC,08NK016,Flow and Level,"49°51'56"" N","114°52'07"" W","1,840"
EWART CREEK NEAR CATHEDRAL PARK,1998-2021,BC,08NL076,Flow and Level,"49°07'57"" N","120°02'16"" W",
EXCHAMSIKS RIVER NEAR TERRACE,1962-2021,BC,08EG012,Flow and Level,"54°21'43"" N","129°18'46"" W",370
FELL CREEK NEAR NELSON,1945-1996,BC,08NJ129,Flow,"49°30'12"" N","117°15'37"" W",4.4
FINLAY RIVER ABOVE AKIE RIVER,1978-2021,BC,07EA005,Flow and Level,"57°07'34"" N","125°14'59"" W","15,600"
FINLAY RIVER AT FINLAY FORKS,1945-1967,BC,07EB001,Flow,"56°01'55"" N","123°54'20"" W","43,300"
FINLAY RIVER AT WARE,1960-1983,BC,07EA001,Flow,"57°25'15"" N","125°37'35"" W","11,100"
FISHTRAP CREEK NEAR MCLURE,1915-2021,BC,08LB024,Flow and Level,"51°07'19"" N","120°12'32"" W",135
FITZSIMMONS CREEK BELOW BLACKCOMB CREEK,1993-2020,BC,08MG026,Flow and Level,"50°07'12"" N","122°56'55"" W",89.7
FIVE MILE CREEK ABOVE CITY INTAKE,1983-2015,BC,08NJ168,Flow and Level,"49°31'06"" N","117°12'41"" W",47.7
FLATBED CREEK AT KILOMETRE 110 HERITAGE HIGHWAY,1982-2022,BC,07FB009,Flow and Level,"55°05'24"" N","120°56'30"" W",486
FLATHEAD RIVER AT FLATHEAD,1929-2018,BC,08NP001,Flow,"49°00'04"" N","114°28'32"" W","1,110"
FONTAS RIVER NEAR THE MOUTH,1988-2021,BC,10CA001,Flow and Level,"58°16'16"" N","121°27'50"" W","7,400"
FORDING RIVER AT THE MOUTH,1970-2022,BC,08NK018,Flow and Level,"49°53'38"" N","114°51'59"" W",621
FORDING RIVER BELOW CLODE CREEK,1971-1995,BC,08NK021,Flow,"50°12'05"" N","114°52'57"" W",104
FORREST KERR CREEK ABOVE 460 M CONTOUR,1972-1994,BC,08CG006,Flow,"56°54'56"" N","130°43'15"" W",311
FORT NELSON RIVER ABOVE MUSKWA RIVER,1978-2004,BC,10CC002,Flow,"58°40'15"" N","122°38'15"" W","22,600"
FRANCOIS LAKE AT FRANCOIS LAKE,1974-1995,BC,08JB011,Level,"54°03'05"" N","125°45'16"" W",
FRANCOIS LAKE AT SOUTHBANK,1935-1974,BC,08JB001,Level,"54°01'30"" N","125°45'55"" W",
FRASER LAKE AT LEJAC,1950-1978,BC,08JB005,Level,"54°03'52"" N","124°45'48"" W",
FRASER RIVER AT HANSARD,1952-2021,BC,08KA004,Flow and Level,"54°04'43"" N","121°51'01"" W","18,000"
FRASER RIVER AT MCBRIDE,1953-2021,BC,08KA005,Flow and Level,"53°18'06"" N","120°08'27"" W","6,890"
FRASER RIVER AT RED PASS,1955-2022,BC,08KA007,Flow and Level,"52°59'10"" N","119°00'24"" W","1,710"
FRASER RIVER AT SHELLEY,1950-2022,BC,08KB001,Flow and Level,"54°00'13"" N","122°37'29"" W","32,400"
FRY CREEK BELOW CARNEY CREEK,1973-2019,BC,08NH130,Flow and Level,"50°04'55"" N","116°47'05"" W",585
GARBAGE CREEK NEAR THE MOUTH,1997-2022,BC,08HA068,Flow and Level,"48°34'42"" N","124°06'20"" W",2.88
GOATHORN CREEK NEAR TELKWA,1960-2021,BC,08EE008,Flow and Level,"54°38'54"" N","127°07'23"" W",125
GOLD RIVER ABOVE BACHELOR CREEK,1974-1995,BC,08NB013,Flow,"51°36'47"" N","117°44'28"" W",135
GOLD RIVER ABOVE PALMER CREEK,1973-2022,BC,08NB014,Flow and Level,"51°40'40"" N","117°43'06"" W",429
GOLDSTREAM RIVER BELOW OLD CAMP CREEK,1954-2020,BC,08ND012,Flow and Level,"51°40'07"" N","118°35'46"" W",934
GRAHAM RIVER ABOVE COLT CREEK,1981-2021,BC,07FA005,Flow and Level,"56°27'35"" N","122°21'16"" W","2,140"
GRANBY RIVER AT GRAND FORKS,1914-2021,BC,08NN002,Flow and Level,"49°02'35"" N","118°26'25"" W","2,060"
GRAVE CREEK AT THE MOUTH,1970-1999,BC,08NK019,Flow,"49°50'36"" N","114°51'36"" W",83.9
GREATA CREEK NEAR THE MOUTH,1970-2021,BC,08NM173,Flow and Level,"49°47'40"" N","119°51'07"" W",40.7
GREEN LAKE NEAR 70 MILE HOUSE,1969-1995,BC,08LF075,Level,"51°26'30"" N","121°08'30"" W",
GREEN RIVER NEAR PEMBERTON,1913-1951,BC,08MG003,Flow,"50°16'55"" N","122°51'05"" W",855
GREEN RIVER NEAR RAINBOW,1914-1948,BC,08MG004,Flow,"50°10'15"" N","122°55'00"" W",195
GUICHON CREEK ABOVE TUNKWA LAKE DIVERSION,1967-2020,BC,08LG056,Flow and Level,"50°36'28"" N","120°54'39"" W",78.2
GUICHON CREEK BELOW QUENVILLE CREEK,1934-1967,BC,08LG032,Flow,"50°24'55"" N","120°48'45"" W",800
HALFWAY RIVER ABOVE GRAHAM RIVER,1977-2021,BC,07FA003,Flow and Level,"56°30'32"" N","122°14'35"" W","3,780"
HALFWAY RIVER NEAR FARRELL CREEK,1981-2021,BC,07FA006,Flow and Level,"56°15'02"" N","121°37'42"" W","9,340"
HALFWAY RIVER NEAR FARRELL CREEK (LOWER STATION),1961-1983,BC,07FA001,Flow,"56°13'40"" N","121°28'50"" W","9,400"
HARPER CREEK NEAR THE MOUTH,1973-2021,BC,08LB076,Flow and Level,"51°21'15"" N","119°52'53"" W",166
HARRIS CREEK NEAR LAKE COWICHAN,1997-2022,BC,08HA070,Flow and Level,"48°43'09"" N","124°13'33"" W",28
HARRISON LAKE NEAR HARRISON HOT SPRINGS,1933-2021,BC,08MG012,Level,"49°18'33"" N","121°46'25"" W",
HARRISON RIVER AT HARRISON MILLS,1938-2021,BC,08MG014,Level,"49°14'04"" N","121°57'33"" W",
HARRISON RIVER BELOW MORRIS CREEK,1973-2021,BC,08MG022,Level,"49°17'06"" N","121°54'15"" W","7,950"
HARRISON RIVER NEAR HARRISON HOT SPRINGS,1951-2020,BC,08MG013,Flow,"49°18'01"" N","121°49'46"" W","7,890"
HARROP CREEK NEAR HARROP,1922-1994,BC,08NJ027,Flow,"49°35'41"" N","117°03'32"" W",42.2
HASLAM CREEK NEAR CASSIDY,1914-1998,BC,08HB003,Flow,"49°02'24"" N","123°54'28"" W",95.6
HEDLEY CREEK NEAR THE MOUTH,1973-2021,BC,08NL050,Flow and Level,"49°21'32"" N","120°04'21"" W",388
HIDDEN CREEK NEAR THE MOUTH,1973-2021,BC,08NE114,Flow and Level,"49°14'04"" N","117°14'21"" W",56.7
HIRSCH CREEK NEAR THE MOUTH,1966-2022,BC,08FF002,Flow and Level,"54°03'50"" N","128°36'09"" W",353
HIUIHILL CREEK ABOVE DIVERSIONS,1917-2002,BC,08LD002,Flow,"50°53'08"" N","119°43'58"" W",69.7
HOBSON LAKE NEAR CLEARWATER STATION,1960-1983,BC,08LA014,Level,"52°25'30"" N","120°19'32"" W",
HOMATHKO RIVER AT INLET TO TATLAYOKO LAKE,1968-2022,BC,08GD008,Flow and Level,"51°40'23"" N","124°24'26"" W",486
HOMATHKO RIVER AT THE MOUTH,1957-2022,BC,08GD004,Flow and Level,"50°59'10"" N","124°55'07"" W","5,680"
HOMATHKO RIVER AT TRAGEDY CANYON,1960-1995,BC,08GD006,Flow,"51°15'58"" N","124°53'13"" W","4,070"
HOMATHKO RIVER BELOW NUDE CREEK,1960-1995,BC,08GD005,Flow,"51°22'28"" N","124°45'43"" W","1,960"
HONNA RIVER NEAR THE MOUTH,1985-2020,BC,08OA004,Flow and Level,"53°15'09"" N","132°08'16"" W",45.3
HORSEFLY RIVER ABOVE MCKINLEY CREEK,1955-2021,BC,08KH010,Flow and Level,"52°17'29"" N","121°04'01"" W",790
HOSMER CREEK ABOVE DIVERSIONS,1981-2021,BC,08NK026,Flow and Level,"49°35'06"" N","114°57'24"" W",6.4
HOWELL CREEK ABOVE CABIN CREEK,1977-2022,BC,08NP003,Flow and Level,"49°05'41"" N","114°32'09"" W",145
HUMPHRIES CREEK NEAR TROUT LAKE,1998-2021,BC,08NH138,Flow and Level,"50°38'10"" N","117°32'41"" W",8.84
HURLEY RIVER BELOW LONE GOAT CREEK,1996-2020,BC,08ME027,Flow and Level,"50°43'51"" N","122°56'31"" W",312
HYLAND RIVER NEAR LOWER POST,1946-1993,BC,10AD001,Flow,"59°57'03"" N","128°09'03"" W","9,450"
ICY CREEK NEAR THE MOUTH,1998-2022,BC,08GE003,Flow and Level,"51°13'39"" N","125°40'17"" W",23
ILLECILLEWAET RIVER AT GREELEY,1963-2021,BC,08ND013,Flow and Level,"51°00'45"" N","118°05'06"" W","1,150"
INCOMAPPLEUX RIVER NEAR BEATON,1914-1996,BC,08NE001,Flow,"50°46'25"" N","117°40'36"" W","1,020"
INGENIKA RIVER ABOVE SWANNELL RIVER,1977-2021,BC,07EA004,Flow and Level,"56°43'50"" N","125°06'18"" W","4,140"
INKANEEP CREEK NEAR OLIVER (LOWER STATION),1919-1950,BC,08NM012,Flow,"49°07'00"" N","119°29'30"" W",164
INONOAKLIN CREEK ABOVE VALLEY CREEK,1971-2022,BC,08NE110,Flow and Level,"49°53'49"" N","118°11'23"" W",298
